model,feature_kind,L,split,speaker_id,sample_id,audio_path,feature_dim
base,codes_hist,1,train,p225,p225_003_mic1,data\VCTK\wav48_silence_trimmed\p225\p225_003_mic1.flac,1024
base,codes_hist,1,train,p225,p225_017_mic1,data\VCTK\wav48_silence_trimmed\p225\p225_017_mic1.flac,1024
base,codes_hist,1,train,p225,p225_083_mic2,data\VCTK\wav48_silence_trimmed\p225\p225_083_mic2.flac,1024
base,codes_hist,1,train,p225,p225_293_mic1,data\VCTK\wav48_silence_trimmed\p225\p225_293_mic1.flac,1024
base,codes_hist,1,train,p225,p225_326_mic2,data\VCTK\wav48_silence_trimmed\p225\p225_326_mic2.flac,1024
base,codes_hist,1,train,p226,p226_057_mic1,data\VCTK\wav48_silence_trimmed\p226\p226_057_mic1.flac,1024
base,codes_hist,1,train,p226,p226_068_mic2,data\VCTK\wav48_silence_trimmed\p226\p226_068_mic2.flac,1024
base,codes_hist,1,train,p226,p226_072_mic2,data\VCTK\wav48_silence_trimmed\p226\p226_072_mic2.flac,1024
base,codes_hist,1,train,p226,p226_239_mic2,data\VCTK\wav48_silence_trimmed\p226\p226_239_mic2.flac,1024
base,codes_hist,1,train,p226,p226_253_mic2,data\VCTK\wav48_silence_trimmed\p226\p226_253_mic2.flac,1024
base,codes_hist,1,train,p227,p227_033_mic2,data\VCTK\wav48_silence_trimmed\p227\p227_033_mic2.flac,1024
base,codes_hist,1,train,p227,p227_050_mic1,data\VCTK\wav48_silence_trimmed\p227\p227_050_mic1.flac,1024
base,codes_hist,1,train,p227,p227_116_mic2,data\VCTK\wav48_silence_trimmed\p227\p227_116_mic2.flac,1024
base,codes_hist,1,train,p227,p227_165_mic1,data\VCTK\wav48_silence_trimmed\p227\p227_165_mic1.flac,1024
base,codes_hist,1,train,p227,p227_243_mic2,data\VCTK\wav48_silence_trimmed\p227\p227_243_mic2.flac,1024
base,codes_hist,1,train,p228,p228_091_mic2,data\VCTK\wav48_silence_trimmed\p228\p228_091_mic2.flac,1024
base,codes_hist,1,train,p228,p228_127_mic2,data\VCTK\wav48_silence_trimmed\p228\p228_127_mic2.flac,1024
base,codes_hist,1,train,p228,p228_146_mic1,data\VCTK\wav48_silence_trimmed\p228\p228_146_mic1.flac,1024
base,codes_hist,1,train,p228,p228_191_mic1,data\VCTK\wav48_silence_trimmed\p228\p228_191_mic1.flac,1024
base,codes_hist,1,train,p228,p228_350_mic2,data\VCTK\wav48_silence_trimmed\p228\p228_350_mic2.flac,1024
base,codes_hist,1,train,p229,p229_016_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_016_mic1.flac,1024
base,codes_hist,1,train,p229,p229_025_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_025_mic1.flac,1024
base,codes_hist,1,train,p229,p229_041_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_041_mic1.flac,1024
base,codes_hist,1,train,p229,p229_067_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_067_mic1.flac,1024
base,codes_hist,1,train,p229,p229_197_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_197_mic1.flac,1024
base,codes_hist,1,train,p230,p230_030_mic1,data\VCTK\wav48_silence_trimmed\p230\p230_030_mic1.flac,1024
base,codes_hist,1,train,p230,p230_274_mic2,data\VCTK\wav48_silence_trimmed\p230\p230_274_mic2.flac,1024
base,codes_hist,1,train,p230,p230_280_mic1,data\VCTK\wav48_silence_trimmed\p230\p230_280_mic1.flac,1024
base,codes_hist,1,train,p230,p230_312_mic2,data\VCTK\wav48_silence_trimmed\p230\p230_312_mic2.flac,1024
base,codes_hist,1,train,p230,p230_324_mic1,data\VCTK\wav48_silence_trimmed\p230\p230_324_mic1.flac,1024
base,codes_hist,1,train,p231,p231_007_mic1,data\VCTK\wav48_silence_trimmed\p231\p231_007_mic1.flac,1024
base,codes_hist,1,train,p231,p231_107_mic1,data\VCTK\wav48_silence_trimmed\p231\p231_107_mic1.flac,1024
base,codes_hist,1,train,p231,p231_137_mic1,data\VCTK\wav48_silence_trimmed\p231\p231_137_mic1.flac,1024
base,codes_hist,1,train,p231,p231_284_mic2,data\VCTK\wav48_silence_trimmed\p231\p231_284_mic2.flac,1024
base,codes_hist,1,train,p231,p231_297_mic2,data\VCTK\wav48_silence_trimmed\p231\p231_297_mic2.flac,1024
base,codes_hist,1,train,p232,p232_089_mic1,data\VCTK\wav48_silence_trimmed\p232\p232_089_mic1.flac,1024
base,codes_hist,1,train,p232,p232_284_mic2,data\VCTK\wav48_silence_trimmed\p232\p232_284_mic2.flac,1024
base,codes_hist,1,train,p232,p232_380_mic2,data\VCTK\wav48_silence_trimmed\p232\p232_380_mic2.flac,1024
base,codes_hist,1,train,p232,p232_389_mic1,data\VCTK\wav48_silence_trimmed\p232\p232_389_mic1.flac,1024
