model,L,sample_id,speaker_id,audio_path,predicted_speaker,top1_correct,verified,score,correct_score,max_impostor_score,margin,duration_sec
original,0,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p283,0,1,0.9975541234016418,0.9910882711410522,0.9975541234016418,-0.0064658522605896,2.2446875
base,1,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p239,0,1,0.9937285780906677,0.98932284116745,0.9937285780906677,-0.0044057369232177734,2.2446875
base,2,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p283,0,1,0.9978029131889343,0.9917332530021667,0.9978029131889343,-0.006069660186767578,2.2446875
base,3,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p283,0,1,0.9982038140296936,0.9925529360771179,0.9982038140296936,-0.005650877952575684,2.2446875
lca,1,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p303,0,1,0.9929561018943787,0.9829958081245422,0.9929561018943787,-0.009960293769836426,2.2446875
lca,2,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p303,0,1,0.9969784021377563,0.9891373515129089,0.9969784021377563,-0.007841050624847412,2.2446875
lca,3,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p300,0,1,0.9970643520355225,0.9911195635795593,0.9970643520355225,-0.005944788455963135,2.2446875
original,0,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p299,0,1,0.9976884126663208,0.9969208836555481,0.9976884126663208,-0.0007675290107727051,4.7751875
base,1,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p312,0,1,0.9930453896522522,0.9916765093803406,0.9930453896522522,-0.001368880271911621,4.7751875
base,2,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p312,0,1,0.9966579079627991,0.995188295841217,0.9966579079627991,-0.0014696121215820312,4.7751875
base,3,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p299,0,1,0.9979922771453857,0.997456967830658,0.9979922771453857,-0.0005353093147277832,4.7751875
lca,1,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p239,0,1,0.993735134601593,0.9909127950668335,0.993735134601593,-0.0028223395347595215,4.7751875
lca,2,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p312,0,1,0.9969885945320129,0.9956041574478149,0.9969885945320129,-0.001384437084197998,4.7751875
lca,3,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p312,0,1,0.9966874122619629,0.9947563409805298,0.9966874122619629,-0.0019310712814331055,4.7751875
original,0,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p259,0,1,0.9946323037147522,0.989375650882721,0.9946323037147522,-0.00525665283203125,1.998875
base,1,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p239,0,1,0.9888225793838501,0.9812199473381042,0.9888225793838501,-0.00760263204574585,1.998875
base,2,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p252,0,1,0.9954309463500977,0.9894352555274963,0.9954309463500977,-0.005995690822601318,1.998875
base,3,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p239,0,1,0.9962909817695618,0.9911552667617798,0.9962909817695618,-0.005135715007781982,1.998875
lca,1,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p239,0,1,0.988455057144165,0.9788109660148621,0.988455057144165,-0.009644091129302979,1.998875
lca,2,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p239,0,1,0.9939021468162537,0.9858189821243286,0.9939021468162537,-0.008083164691925049,1.998875
lca,3,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p259,0,1,0.9943990707397461,0.9867837429046631,0.9943990707397461,-0.007615327835083008,1.998875
original,0,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p285,0,1,0.9973371028900146,0.9923948645591736,0.9973371028900146,-0.0049422383308410645,2.363875
base,1,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p239,0,1,0.9883993268013,0.9812063574790955,0.9883993268013,-0.00719296932220459,2.363875
base,2,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p255,0,1,0.9967014789581299,0.9906912446022034,0.9967014789581299,-0.006010234355926514,2.363875
base,3,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p255,0,1,0.9976645112037659,0.9923732876777649,0.9976645112037659,-0.0052912235260009766,2.363875
