model,L,sample_id,speaker_id,audio_path,predicted_speaker,top1_correct,verified,score,correct_score,max_impostor_score,margin,duration_sec
original,0,p225_007_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_007_mic1.flac,p225,1,1,0.8705431818962097,0.8705431818962097,0.5195346474647522,0.3510085344314575,5.6226875
base,1,p225_007_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_007_mic1.flac,p225,1,1,0.455024391412735,0.455024391412735,0.408141553401947,0.046882838010787964,5.6226875
base,2,p225_007_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_007_mic1.flac,p225,1,1,0.5383387804031372,0.5383387804031372,0.4373198449611664,0.10101893544197083,5.6226875
base,3,p225_007_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_007_mic1.flac,p225,1,1,0.577400803565979,0.577400803565979,0.46785861253738403,0.10954219102859497,5.6226875
lca,1,p225_007_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_007_mic1.flac,p280,0,1,0.4235592484474182,0.33762654662132263,0.4235592484474182,-0.08593270182609558,5.6226875
lca,2,p225_007_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_007_mic1.flac,p280,0,1,0.4889047145843506,0.4282771348953247,0.4889047145843506,-0.06062757968902588,5.6226875
lca,3,p225_007_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_007_mic1.flac,p280,0,1,0.5230557918548584,0.43602705001831055,0.5230557918548584,-0.08702874183654785,5.6226875
original,0,p225_064_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_064_mic1.flac,p225,1,1,0.7943978309631348,0.7943978309631348,0.4386940598487854,0.35570377111434937,1.80325
base,1,p225_064_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_064_mic1.flac,p225,1,1,0.478737473487854,0.478737473487854,0.4413830041885376,0.037354469299316406,1.80325
base,2,p225_064_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_064_mic1.flac,p225,1,1,0.6525762677192688,0.6525762677192688,0.43910926580429077,0.21346700191497803,1.80325
base,3,p225_064_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_064_mic1.flac,p225,1,1,0.6703340411186218,0.6703340411186218,0.458183616399765,0.2121504247188568,1.80325
lca,1,p225_064_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_064_mic1.flac,p280,0,1,0.31522300839424133,0.2371484637260437,0.31522300839424133,-0.07807454466819763,1.80325
lca,2,p225_064_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_064_mic1.flac,p280,0,1,0.47086507081985474,0.38536301255226135,0.47086507081985474,-0.08550205826759338,1.80325
lca,3,p225_064_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_064_mic1.flac,p280,0,1,0.4517623782157898,0.4020889401435852,0.4517623782157898,-0.04967343807220459,1.80325
original,0,p225_131_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_131_mic1.flac,p225,1,1,0.8048309087753296,0.8048309087753296,0.3381596803665161,0.4666712284088135,3.18975
base,1,p225_131_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_131_mic1.flac,p225,1,1,0.42931851744651794,0.42931851744651794,0.36390289664268494,0.06541562080383301,3.18975
base,2,p225_131_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_131_mic1.flac,p225,1,1,0.6551773548126221,0.6551773548126221,0.40534189343452454,0.24983546137809753,3.18975
base,3,p225_131_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_131_mic1.flac,p225,1,1,0.6453375816345215,0.6453375816345215,0.43189674615859985,0.21344083547592163,3.18975
lca,1,p225_131_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_131_mic1.flac,p280,0,1,0.49112528562545776,0.4051342010498047,0.49112528562545776,-0.08599108457565308,3.18975
lca,2,p225_131_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_131_mic1.flac,p225,1,1,0.5235164165496826,0.5235164165496826,0.49031296372413635,0.033203452825546265,3.18975
lca,3,p225_131_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_131_mic1.flac,p225,1,1,0.5020356178283691,0.5020356178283691,0.48645320534706116,0.015582412481307983,3.18975
original,0,p225_173_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_173_mic1.flac,p225,1,1,0.8530573844909668,0.8530573844909668,0.44820481538772583,0.40485256910324097,4.1010625
base,1,p225_173_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_173_mic1.flac,p293,0,1,0.4693785309791565,0.38036346435546875,0.4693785309791565,-0.08901506662368774,4.1010625
base,2,p225_173_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_173_mic1.flac,p225,1,1,0.5270441174507141,0.5270441174507141,0.40409934520721436,0.12294477224349976,4.1010625
base,3,p225_173_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_173_mic1.flac,p225,1,1,0.6135338544845581,0.6135338544845581,0.35521256923675537,0.25832128524780273,4.1010625
lca,1,p225_173_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_173_mic1.flac,p280,0,1,0.45664557814598083,0.2645193040370941,0.45664557814598083,-0.19212627410888672,4.1010625
lca,2,p225_173_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_173_mic1.flac,p280,0,1,0.43222776055336,0.33674222230911255,0.43222776055336,-0.09548553824424744,4.1010625
lca,3,p225_173_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_173_mic1.flac,p280,0,1,0.47805890440940857,0.4268403947353363,0.47805890440940857,-0.051218509674072266,4.1010625
original,0,p225_305_mic2,p225,data\VCTK\wav48_silence_trimmed\p225\p225_305_mic2.flac,p225,1,1,0.8156351447105408,0.8156351447105408,0.4306809902191162,0.38495415449142456,2.9623125
base,1,p225_305_mic2,p225,data\VCTK\wav48_silence_trimmed\p225\p225_305_mic2.flac,p343,0,1,0.36750227212905884,0.18655982613563538,0.36750227212905884,-0.18094244599342346,2.9623125
base,2,p225_305_mic2,p225,data\VCTK\wav48_silence_trimmed\p225\p225_305_mic2.flac,p343,0,1,0.34561780095100403,0.31086865067481995,0.34561780095100403,-0.03474915027618408,2.9623125
