model,L,sample_id,speaker_id,audio_path,predicted_speaker,top1_correct,verified,score,correct_score,max_impostor_score,margin,duration_sec
original,0,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p225,1,1,0.7041259407997131,0.7041259407997131,0.3580588698387146,0.34606707096099854,2.2446875
base,1,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p343,0,1,0.39673805236816406,0.29609519243240356,0.39673805236816406,-0.1006428599357605,2.2446875
base,2,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p225,1,1,0.41919296979904175,0.41919296979904175,0.28249552845954895,0.1366974413394928,2.2446875
base,3,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p225,1,1,0.5125693082809448,0.5125693082809448,0.31676626205444336,0.19580304622650146,2.2446875
lca,1,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p343,0,1,0.35166701674461365,0.2997781038284302,0.35166701674461365,-0.05188891291618347,2.2446875
lca,2,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p343,0,1,0.3539833426475525,0.33884915709495544,0.3539833426475525,-0.015134185552597046,2.2446875
lca,3,p225_109_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_109_mic1.flac,p225,1,1,0.3938709497451782,0.3938709497451782,0.30145660042762756,0.09241434931755066,2.2446875
original,0,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p225,1,1,0.7926456928253174,0.7926456928253174,0.34313449263572693,0.44951120018959045,4.7751875
base,1,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p268,0,1,0.3682330548763275,0.2977597713470459,0.3682330548763275,-0.07047328352928162,4.7751875
base,2,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p225,1,1,0.48558464646339417,0.48558464646339417,0.44210317730903625,0.04348146915435791,4.7751875
base,3,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p225,1,1,0.5536540746688843,0.5536540746688843,0.3983941078186035,0.15525996685028076,4.7751875
lca,1,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p295,0,1,0.3869282603263855,0.30492886900901794,0.3869282603263855,-0.08199939131736755,4.7751875
lca,2,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p280,0,1,0.4737129807472229,0.4659491777420044,0.4737129807472229,-0.007763803005218506,4.7751875
lca,3,p225_116_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,p225,1,1,0.5176414847373962,0.5176414847373962,0.46222466230392456,0.05541682243347168,4.7751875
original,0,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p225,1,1,0.7317352890968323,0.7317352890968323,0.35824134945869446,0.3734939396381378,1.998875
base,1,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p262,0,1,0.29600536823272705,0.28467464447021484,0.29600536823272705,-0.011330723762512207,1.998875
base,2,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p225,1,1,0.556704044342041,0.556704044342041,0.3088955283164978,0.2478085160255432,1.998875
base,3,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p225,1,1,0.5315995216369629,0.5315995216369629,0.2960372567176819,0.235562264919281,1.998875
lca,1,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p262,0,1,0.3835144639015198,0.24437102675437927,0.3835144639015198,-0.1391434371471405,1.998875
lca,2,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p257,0,1,0.3687772750854492,0.3531445860862732,0.3687772750854492,-0.015632688999176025,1.998875
lca,3,p225_133_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_133_mic1.flac,p225,1,1,0.36307647824287415,0.36307647824287415,0.3492422103881836,0.013834267854690552,1.998875
original,0,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p225,1,1,0.7249084115028381,0.7249084115028381,0.3303263187408447,0.3945820927619934,2.363875
base,1,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p268,0,1,0.3491353988647461,0.2776296138763428,0.3491353988647461,-0.07150578498840332,2.363875
base,2,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p225,1,1,0.47040727734565735,0.47040727734565735,0.3343415856361389,0.13606569170951843,2.363875
base,3,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p225,1,1,0.5565108060836792,0.5565108060836792,0.36364537477493286,0.19286543130874634,2.363875
lca,1,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p225,1,1,0.43696871399879456,0.43696871399879456,0.34313997626304626,0.09382873773574829,2.363875
lca,2,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p225,1,1,0.4445882737636566,0.4445882737636566,0.3413785398006439,0.1032097339630127,2.363875
lca,3,p225_257_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_257_mic1.flac,p225,1,1,0.5531657934188843,0.5531657934188843,0.35483646392822266,0.19832932949066162,2.363875
original,0,p225_319_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_319_mic1.flac,p225,1,1,0.6081342697143555,0.6081342697143555,0.30842337012290955,0.2997108995914459,2.7408125
base,1,p225_319_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_319_mic1.flac,p343,0,1,0.3414958417415619,0.19143140316009521,0.3414958417415619,-0.15006443858146667,2.7408125
base,2,p225_319_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_319_mic1.flac,p257,0,1,0.37341785430908203,0.3023247718811035,0.37341785430908203,-0.07109308242797852,2.7408125
base,3,p225_319_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_319_mic1.flac,p225,1,1,0.4417521357536316,0.4417521357536316,0.39908093214035034,0.04267120361328125,2.7408125
lca,1,p225_319_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_319_mic1.flac,p343,0,1,0.35386186838150024,0.19947180151939392,0.35386186838150024,-0.15439006686210632,2.7408125
lca,2,p225_319_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_319_mic1.flac,p225,1,1,0.3976406455039978,0.3976406455039978,0.38962340354919434,0.008017241954803467,2.7408125
lca,3,p225_319_mic1,p225,data\VCTK\wav48_silence_trimmed\p225\p225_319_mic1.flac,p225,1,1,0.41946256160736084,0.41946256160736084,0.384596586227417,0.03486597537994385,2.7408125
original,0,p226_063_mic2,p226,data\VCTK\wav48_silence_trimmed\p226\p226_063_mic2.flac,p226,1,1,0.749919056892395,0.749919056892395,0.4001137614250183,0.3498052954673767,2.4654375
base,1,p226_063_mic2,p226,data\VCTK\wav48_silence_trimmed\p226\p226_063_mic2.flac,p374,0,1,0.32809722423553467,0.09989260137081146,0.32809722423553467,-0.2282046228647232,2.4654375
