model,feature_kind,L,split,speaker_id,sample_id,audio_path,feature_dim
base,codes_hist,1,train,p225,p225_022_mic2,data\VCTK\wav48_silence_trimmed\p225\p225_022_mic2.flac,1024
base,codes_hist,1,train,p225,p225_059_mic2,data\VCTK\wav48_silence_trimmed\p225\p225_059_mic2.flac,1024
base,codes_hist,1,train,p225,p225_116_mic1,data\VCTK\wav48_silence_trimmed\p225\p225_116_mic1.flac,1024
base,codes_hist,1,train,p225,p225_298_mic2,data\VCTK\wav48_silence_trimmed\p225\p225_298_mic2.flac,1024
base,codes_hist,1,train,p225,p225_319_mic1,data\VCTK\wav48_silence_trimmed\p225\p225_319_mic1.flac,1024
base,codes_hist,1,train,p226,p226_077_mic1,data\VCTK\wav48_silence_trimmed\p226\p226_077_mic1.flac,1024
base,codes_hist,1,train,p226,p226_085_mic2,data\VCTK\wav48_silence_trimmed\p226\p226_085_mic2.flac,1024
base,codes_hist,1,train,p226,p226_090_mic1,data\VCTK\wav48_silence_trimmed\p226\p226_090_mic1.flac,1024
base,codes_hist,1,train,p226,p226_267_mic2,data\VCTK\wav48_silence_trimmed\p226\p226_267_mic2.flac,1024
base,codes_hist,1,train,p226,p226_312_mic2,data\VCTK\wav48_silence_trimmed\p226\p226_312_mic2.flac,1024
base,codes_hist,1,train,p227,p227_100_mic1,data\VCTK\wav48_silence_trimmed\p227\p227_100_mic1.flac,1024
base,codes_hist,1,train,p227,p227_169_mic2,data\VCTK\wav48_silence_trimmed\p227\p227_169_mic2.flac,1024
base,codes_hist,1,train,p227,p227_270_mic2,data\VCTK\wav48_silence_trimmed\p227\p227_270_mic2.flac,1024
base,codes_hist,1,train,p227,p227_386_mic2,data\VCTK\wav48_silence_trimmed\p227\p227_386_mic2.flac,1024
base,codes_hist,1,train,p227,p227_388_mic2,data\VCTK\wav48_silence_trimmed\p227\p227_388_mic2.flac,1024
base,codes_hist,1,train,p228,p228_027_mic1,data\VCTK\wav48_silence_trimmed\p228\p228_027_mic1.flac,1024
base,codes_hist,1,train,p228,p228_028_mic1,data\VCTK\wav48_silence_trimmed\p228\p228_028_mic1.flac,1024
base,codes_hist,1,train,p228,p228_041_mic2,data\VCTK\wav48_silence_trimmed\p228\p228_041_mic2.flac,1024
base,codes_hist,1,train,p228,p228_312_mic1,data\VCTK\wav48_silence_trimmed\p228\p228_312_mic1.flac,1024
base,codes_hist,1,train,p228,p228_332_mic2,data\VCTK\wav48_silence_trimmed\p228\p228_332_mic2.flac,1024
base,codes_hist,1,train,p229,p229_001_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_001_mic1.flac,1024
base,codes_hist,1,train,p229,p229_034_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_034_mic1.flac,1024
base,codes_hist,1,train,p229,p229_139_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_139_mic1.flac,1024
base,codes_hist,1,train,p229,p229_162_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_162_mic1.flac,1024
base,codes_hist,1,train,p229,p229_264_mic1,data\VCTK\wav48_silence_trimmed\p229\p229_264_mic1.flac,1024
base,codes_hist,1,train,p230,p230_021_mic2,data\VCTK\wav48_silence_trimmed\p230\p230_021_mic2.flac,1024
base,codes_hist,1,train,p230,p230_034_mic1,data\VCTK\wav48_silence_trimmed\p230\p230_034_mic1.flac,1024
base,codes_hist,1,train,p230,p230_258_mic2,data\VCTK\wav48_silence_trimmed\p230\p230_258_mic2.flac,1024
base,codes_hist,1,train,p230,p230_355_mic1,data\VCTK\wav48_silence_trimmed\p230\p230_355_mic1.flac,1024
base,codes_hist,1,train,p230,p230_402_mic2,data\VCTK\wav48_silence_trimmed\p230\p230_402_mic2.flac,1024
base,codes_hist,1,train,p231,p231_172_mic1,data\VCTK\wav48_silence_trimmed\p231\p231_172_mic1.flac,1024
base,codes_hist,1,train,p231,p231_230_mic1,data\VCTK\wav48_silence_trimmed\p231\p231_230_mic1.flac,1024
base,codes_hist,1,train,p231,p231_266_mic2,data\VCTK\wav48_silence_trimmed\p231\p231_266_mic2.flac,1024
base,codes_hist,1,train,p231,p231_360_mic2,data\VCTK\wav48_silence_trimmed\p231\p231_360_mic2.flac,1024
base,codes_hist,1,train,p231,p231_403_mic2,data\VCTK\wav48_silence_trimmed\p231\p231_403_mic2.flac,1024
base,codes_hist,1,train,p232,p232_038_mic2,data\VCTK\wav48_silence_trimmed\p232\p232_038_mic2.flac,1024
base,codes_hist,1,train,p232,p232_043_mic1,data\VCTK\wav48_silence_trimmed\p232\p232_043_mic1.flac,1024
base,codes_hist,1,train,p232,p232_128_mic1,data\VCTK\wav48_silence_trimmed\p232\p232_128_mic1.flac,1024
base,codes_hist,1,train,p232,p232_216_mic1,data\VCTK\wav48_silence_trimmed\p232\p232_216_mic1.flac,1024
base,codes_hist,1,train,p232,p232_293_mic1,data\VCTK\wav48_silence_trimmed\p232\p232_293_mic1.flac,1024
base,codes_hist,1,train,p233,p233_088_mic1,data\VCTK\wav48_silence_trimmed\p233\p233_088_mic1.flac,1024
base,codes_hist,1,train,p233,p233_115_mic2,data\VCTK\wav48_silence_trimmed\p233\p233_115_mic2.flac,1024
base,codes_hist,1,train,p233,p233_135_mic1,data\VCTK\wav48_silence_trimmed\p233\p233_135_mic1.flac,1024
base,codes_hist,1,train,p233,p233_309_mic2,data\VCTK\wav48_silence_trimmed\p233\p233_309_mic2.flac,1024
base,codes_hist,1,train,p233,p233_363_mic1,data\VCTK\wav48_silence_trimmed\p233\p233_363_mic1.flac,1024
base,codes_hist,1,train,p234,p234_009_mic2,data\VCTK\wav48_silence_trimmed\p234\p234_009_mic2.flac,1024
base,codes_hist,1,train,p234,p234_097_mic1,data\VCTK\wav48_silence_trimmed\p234\p234_097_mic1.flac,1024
base,codes_hist,1,train,p234,p234_267_mic1,data\VCTK\wav48_silence_trimmed\p234\p234_267_mic1.flac,1024
base,codes_hist,1,train,p234,p234_290_mic2,data\VCTK\wav48_silence_trimmed\p234\p234_290_mic2.flac,1024
base,codes_hist,1,train,p234,p234_302_mic1,data\VCTK\wav48_silence_trimmed\p234\p234_302_mic1.flac,1024
base,codes_hist,1,train,p236,p236_121_mic1,data\VCTK\wav48_silence_trimmed\p236\p236_121_mic1.flac,1024
base,codes_hist,1,train,p236,p236_140_mic2,data\VCTK\wav48_silence_trimmed\p236\p236_140_mic2.flac,1024
base,codes_hist,1,train,p236,p236_162_mic2,data\VCTK\wav48_silence_trimmed\p236\p236_162_mic2.flac,1024
base,codes_hist,1,train,p236,p236_328_mic2,data\VCTK\wav48_silence_trimmed\p236\p236_328_mic2.flac,1024
base,codes_hist,1,train,p236,p236_492_mic2,data\VCTK\wav48_silence_trimmed\p236\p236_492_mic2.flac,1024
base,codes_hist,1,train,p237,p237_030_mic1,data\VCTK\wav48_silence_trimmed\p237\p237_030_mic1.flac,1024
base,codes_hist,1,train,p237,p237_164_mic1,data\VCTK\wav48_silence_trimmed\p237\p237_164_mic1.flac,1024
base,codes_hist,1,train,p237,p237_164_mic2,data\VCTK\wav48_silence_trimmed\p237\p237_164_mic2.flac,1024
base,codes_hist,1,train,p237,p237_314_mic1,data\VCTK\wav48_silence_trimmed\p237\p237_314_mic1.flac,1024
base,codes_hist,1,train,p237,p237_332_mic1,data\VCTK\wav48_silence_trimmed\p237\p237_332_mic1.flac,1024
base,codes_hist,1,train,p238,p238_046_mic1,data\VCTK\wav48_silence_trimmed\p238\p238_046_mic1.flac,1024
base,codes_hist,1,train,p238,p238_129_mic2,data\VCTK\wav48_silence_trimmed\p238\p238_129_mic2.flac,1024
base,codes_hist,1,train,p238,p238_288_mic2,data\VCTK\wav48_silence_trimmed\p238\p238_288_mic2.flac,1024
base,codes_hist,1,train,p238,p238_418_mic2,data\VCTK\wav48_silence_trimmed\p238\p238_418_mic2.flac,1024
base,codes_hist,1,train,p238,p238_445_mic1,data\VCTK\wav48_silence_trimmed\p238\p238_445_mic1.flac,1024
base,codes_hist,1,train,p239,p239_076_mic2,data\VCTK\wav48_silence_trimmed\p239\p239_076_mic2.flac,1024
base,codes_hist,1,train,p239,p239_095_mic2,data\VCTK\wav48_silence_trimmed\p239\p239_095_mic2.flac,1024
base,codes_hist,1,train,p239,p239_219_mic1,data\VCTK\wav48_silence_trimmed\p239\p239_219_mic1.flac,1024
base,codes_hist,1,train,p239,p239_392_mic2,data\VCTK\wav48_silence_trimmed\p239\p239_392_mic2.flac,1024
base,codes_hist,1,train,p239,p239_435_mic1,data\VCTK\wav48_silence_trimmed\p239\p239_435_mic1.flac,1024
base,codes_hist,1,train,p240,p240_020_mic1,data\VCTK\wav48_silence_trimmed\p240\p240_020_mic1.flac,1024
